name,year,xCord,yCord,desc
Lindisfarne,793,-1.800859,55.6807718,The first documented viking raid. Vikings attacked the church of St Cuthbert at Lindisfarne on the NE cost of Northumbria. Recorded on the 'Domesday Stone.'
Isle of Skye,795,-6.2262725,57.5359261,...
Iona,795,-6.4041001,56.3347303,Monastery of Saint Columba on Iona raided. Scholars assume that Viking activity in Wales began this year.
Aquitaine,799,-0.72033765,44.07796278,155 vikings killed by local forces of Frankish kingdom when ship blown off course.
Aquitaine,799,-0.72033765,44.07796278,St. Philibert monastery plundered.
Iona,802,-6.5541001,56.3347303,Monastery plundered a second time, and then burned.
Lyminge,804,1.089688,51.128996,...
Iona,806,-6.3041001,56.3347303,During third attack, 68 monks massacred. Many monks relocated to Columban Abbey of Kells in Ireland.
Reric,808,11.487358,53.960261,Reric captured by King Godfred. Reric was a vastly important trade settlement.
Frisia,810,4.91867,52.66294,Gudfred led 200 ships to plunder Frisia. Forced merchants and peasants to pay 100 pounds of silver and claimed North Frisia as Danish Territory.
Vestfold,813,10.1144355,59.1707862,Not a raid - rather Norwegian Vikings struggle with Danish Vikings over territory
Flanders,820,3.7264613,51.0108706,First major raids by Vikings in Frankish empire at mouth of river Seine. Flanders also targeted.
Aquitaine,820,-0.72033765,44.07796278,...
Faroe Islands,825,-6.85687446,61.98049951,Vikings force out Irish hermits that had resided there for hundreds of years.
Armaugh,832,-6.652792,54.3502798,Vikings raid great monastery of Armagh.
Armaugh,832,-6.652792,54.3502798,And they raid it again in the same month.
Armaugh,832,-6.652792,54.3502798,And yet again...
Dorestad,834,5.34427831,51.75607431,...
Sheppy,835,0.8365233,51.3964896,...
Dorestad,835,5.34427831,51.75607431,Vikings plunder wealthy trading town again.
Dorestad,836,5.34427831,51.75607431,And again a year later.
Dorestad,837,5.34427831,51.75607431,And yet again, man do they love Dorestad.
Constantinople,839,28.9783589,41.0082376,Not sacked - first documented instance of Constantinople being reached by swedish Vikings
Dublin,840,-6.2603,53.3498,first assumed instance of Viking over-wintering in Ireland/Dublin
Dublin,841,-6.2603,53.3498,Perm. Viking settlement established in Dublin
Francia,842,0.94360845,48.35600482,...
Frisia,843,4.91867,52.66294,...
Toulouse,844,1.444209,43.604652,Viking fleet of 70-80 ships plundered up the Garonne to Toulouse and then attacked Asturians and Gijon on coast of Spain.
Galicia,844,-8.1338558,42.5750554,...
Lisbon,844,-9.1393366,38.7222524,...
Seville,844,-5.9844589,37.3890924,...
Hamburg,845,9.9936819,53.5510846,King Horik attacked with 600 ships. Church and monaster and library destroyed. Horik later released all POWs and returned some goods.
Frisia,845,4.91867,52.66294,...
Paris,845,2.3522219,48.856614,Siege of Paris. Ragnar's fleet of 120 ships defeated Frankish army and plundered Paris on Easter. Franks paid ransom of 2570kg silver and gold.
Bordeaux,848,-0.57918,44.837789,Plundered by Viking raiders. At same time Frankish kingdom split into three. Abbey of Saint-Pierre also looted.
Nantes,848,-1.553621,47.218371,...
Canterbury,851,1.0789089,51.280233,350 Viking ships stormed Canterbury and London via Thames and fought Beorhtwulf King of Mercia. Vikings lost.
